Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Footwear,52601.59,11288612.05,0.27,11.04,1.32,2.49,-6.92,8.79,14.25,168,65.48,20.24,1.79,12.50,60.47,0.00,32845.62,11347680.53,595449.26,8.79,14.25,168,65.48,20.24,1.79,12.50,60.47,0.00,32845.62,11347680.53,595449.26,China,2001
Fuels,92710.93,384594.62,0.48,0.38,0.05,-7.97,-0.22,1.30,4.96,35,5.71,54.29,28.57,11.43,24.04,0.00,252342.42,252641.03,178698.61,1.30,4.96,35,5.71,54.29,28.57,11.43,24.04,0.00,252342.42,252641.03,178698.61,China,2001
Hides and Skins,447892.37,4005105.05,2.34,3.92,1.34,3.91,15.60,3.92,8.08,135,80.74,18.52,0.00,0.74,20.00,0.00,0.00,4233806.33,20821.18,3.92,8.08,135,80.74,18.52,0.00,0.74,20.00,0.00,0.00,4233806.33,20821.18,China,2001
Mach and Elec,7485379.70,33448031.31,39.02,32.71,1.10,6.39,11.20,1.44,1.00,1310,44.58,55.04,0.31,0.08,15.93,0.00,9995.04,14177890.04,20718409.61,1.44,1.00,1310,44.58,55.04,0.31,0.08,15.93,0.00,9995.04,14177890.04,20718409.61,China,2001
Metals,1266150.28,4966127.96,6.60,4.86,0.53,3.11,4.32,2.41,2.79,828,74.03,19.69,2.54,3.74,18.59,0.00,392696.04,4645793.59,787917.76,2.41,2.79,828,74.03,19.69,2.54,3.74,18.59,0.00,392696.04,4645793.59,787917.76,China,2001
Minerals,90786.84,309006.74,0.47,0.30,0.15,13.61,-0.60,0.30,0.27,75,8.00,86.67,4.00,1.33,3.00,0.00,9483.49,102436.67,297923.07,0.30,0.27,75,8.00,86.67,4.00,1.33,3.00,0.00,9483.49,102436.67,297923.07,China,2001
Miscellaneous,1398453.68,24426726.48,7.29,23.89,1.75,10.81,23.31,3.85,1.96,820,40.98,40.00,12.56,6.46,306.94,0.00,466065.72,7894657.16,18846414.87,3.85,1.96,820,40.98,40.00,12.56,6.46,306.94,0.00,466065.72,7894657.16,18846414.87,China,2001
Plastic or Rubber,922715.51,3723677.10,4.81,3.64,0.72,2.91,4.26,3.77,3.83,322,77.33,21.74,0.00,0.93,14.00,0.00,0.00,3986674.08,110015.39,3.77,3.83,322,77.33,21.74,0.00,0.93,14.00,0.00,0.00,3986674.08,110015.39,China,2001
Stone and Glass,213311.70,2909689.43,1.11,2.85,0.74,1.17,-0.55,3.48,4.97,368,63.04,35.33,0.00,1.63,38.00,0.00,0.00,2561505.84,685759.12,3.48,4.97,368,63.04,35.33,0.00,1.63,38.00,0.00,0.00,2561505.84,685759.12,China,2001
Textiles and Clothing,297856.38,8271971.48,1.55,8.09,0.20,-0.93,6.13,10.08,9.78,1310,88.09,3.82,0.53,7.56,32.80,0.00,1515.00,8638137.21,39682.72,10.08,9.78,1310,88.09,3.82,0.53,7.56,32.80,0.00,1515.00,8638137.21,39682.72,China,2001
